0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:45:44 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:45:44 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:45:44 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:33 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:33 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:33 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:33 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:58 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:58 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:59 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:46:59 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:47:11 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:47:11 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:47:11 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:47:12 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:19:43 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:19:43 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:19:43 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:19:44 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:19:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:25:13 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:25:13 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:25:13 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:25:13 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:25:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:25:56 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:25:56 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:35:41 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:35:41 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:35:41 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:35:41 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:35:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:04 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:08 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:08 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:08 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:08 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:46 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:46 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:46 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:36:46 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:20 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:20 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:20 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:21 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:36 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:36 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:36 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:15:37:36 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
